nome,id_pokedex,geracao,status,especie,num_tipos,tipo_primario,tipo_secundario,altura_m,peso_kg,num_habilidades,habilidade_1,habilidade_2,habilidade_escondida,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,taxa_crescimento,porcentagem_macho
Galarian Mr. Mime,122,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,460,50,65,65,90,90,100,45,Medium Fast,
Scyther,123,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56.0,3,Swarm,Technician,Steadfast,500,70,110,80,55,80,105,45,Medium Fast,50.0
Jynx,124,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95,45,Medium Fast,0.0
Electabuzz,125,1,Normal,Electric Pokémon,1,Electric,,1.1,30.0,2,Static,,Vital Spirit,490,65,83,57,95,85,105,45,Medium Fast,75.0
Magmar,126,1,Normal,Spitfire Pokémon,1,Fire,,1.3,44.5,2,Flame Body,,Vital Spirit,495,65,95,57,100,85,93,45,Medium Fast,75.0
Pinsir,127,1,Normal,Stag Beetle Pokémon,1,Bug,,1.5,55.0,3,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85,45,Slow,50.0
Mega Pinsir,127,1,Normal,Stag Beetle Pokémon,2,Bug,Flying,1.7,59.0,1,Aerilate,,,600,65,155,120,65,90,105,45,Slow,50.0
Tauros,128,1,Normal,Wild Bull Pokémon,1,Normal,,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110,45,Slow,100.0
Magikarp,129,1,Normal,Fish Pokémon,1,Water,,0.9,10.0,2,Swift Swim,,Rattled,200,20,10,55,15,20,80,255,Slow,50.0
Gyarados,130,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235.0,2,Intimidate,,Moxie,540,95,125,79,60,100,81,45,Slow,50.0
Mega Gyarados,130,1,Normal,Atrocious Pokémon,2,Water,Dark,6.5,305.0,1,Mold Breaker,,,640,95,155,109,70,130,81,45,Slow,50.0
Lapras,131,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220.0,3,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60,45,Slow,50.0
Ditto,132,1,Normal,Transform Pokémon,1,Normal,,0.3,4.0,2,Limber,,Imposter,288,48,48,48,48,48,48,35,Medium Fast,
Eevee,133,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,3,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55,45,Medium Fast,87.5
Partner Eevee,133,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,1,,,Anticipation,435,65,75,70,65,85,75,45,Medium Fast,87.5
Vaporeon,134,1,Normal,Bubble Jet Pokémon,1,Water,,1.0,29.0,2,Water Absorb,,Hydration,525,130,65,60,110,95,65,45,Medium Fast,87.5
Jolteon,135,1,Normal,Lightning Pokémon,1,Electric,,0.8,24.5,2,Volt Absorb,,Quick Feet,525,65,65,60,110,95,130,45,Medium Fast,87.5
Flareon,136,1,Normal,Flame Pokémon,1,Fire,,0.9,25.0,2,Flash Fire,,Guts,525,65,130,60,95,110,65,45,Medium Fast,87.5
Porygon,137,1,Normal,Virtual Pokémon,1,Normal,,0.8,36.5,3,Trace,Download,Analytic,395,65,60,70,85,75,40,45,Medium Fast,
Omanyte,138,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35,45,Medium Fast,87.5
Omastar,139,1,Normal,Spiral Pokémon,2,Rock,Water,1.0,35.0,3,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55,45,Medium Fast,87.5
Kabuto,140,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55,45,Medium Fast,87.5
Kabutops,141,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80,45,Medium Fast,87.5
Aerodactyl,142,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59.0,3,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130,45,Slow,87.5
Mega Aerodactyl,142,1,Normal,Fossil Pokémon,2,Rock,Flying,2.1,79.0,1,Tough Claws,,,615,80,135,85,70,95,150,45,Slow,87.5
Snorlax,143,1,Normal,Sleeping Pokémon,1,Normal,,2.1,460.0,3,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30,25,Slow,87.5
Articuno,144,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,,Snow Cloak,580,90,85,100,95,125,85,3,Slow,
Galarian Articuno,144,8,Sub Legendary,Cruel Pokémon,2,Psychic,Flying,1.7,50.9,1,Competitive,,,580,90,85,85,125,100,95,3,Slow,
Zapdos,145,1,Sub Legendary,Electric Pokémon,2,Electric,Flying,1.6,52.6,2,Pressure,,Static,580,90,90,85,125,90,100,3,Slow,
Galarian Zapdos,145,8,Sub Legendary,Strong Legs Pokémon,2,Fighting,Flying,1.6,58.2,1,Defiant,,,580,90,125,90,85,90,100,3,Slow,
Moltres,146,1,Sub Legendary,Flame Pokémon,2,Fire,Flying,2.0,60.0,2,Pressure,,Flame Body,580,90,100,90,125,85,90,3,Slow,
Galarian Moltres,146,8,Sub Legendary,Malevolent Pokémon,2,Dark,Flying,2.0,66.0,1,Berserk,,,580,90,85,90,100,125,90,3,Slow,
Dratini,147,1,Normal,Dragon Pokémon,1,Dragon,,1.8,3.3,2,Shed Skin,,Marvel Scale,300,41,64,45,50,50,50,45,Slow,50.0
Dragonair,148,1,Normal,Dragon Pokémon,1,Dragon,,4.0,16.5,2,Shed Skin,,Marvel Scale,420,61,84,65,70,70,70,45,Slow,50.0
Dragonite,149,1,Normal,Dragon Pokémon,2,Dragon,Flying,2.2,210.0,2,Inner Focus,,Multiscale,600,91,134,95,100,100,80,45,Slow,50.0
Mewtwo,150,1,Legendary,Genetic Pokémon,1,Psychic,,2.0,122.0,2,Pressure,,Unnerve,680,106,110,90,154,90,130,3,Slow,
Mega Mewtwo X,150,1,Legendary,Genetic Pokémon,2,Psychic,Fighting,2.3,127.0,1,Steadfast,,,780,106,190,100,154,100,130,3,Slow,
Mega Mewtwo Y,150,1,Legendary,Genetic Pokémon,1,Psychic,,1.5,33.0,1,Insomnia,,,780,106,150,70,194,120,140,3,Slow,
Mew,151,1,Mythical,New Species Pokémon,1,Psychic,,0.4,4.0,1,Synchronize,,,600,100,100,100,100,100,100,45,Medium Slow,
Chikorita,152,2,Normal,Leaf Pokémon,1,Grass,,0.9,6.4,2,Overgrow,,Leaf Guard,318,45,49,65,49,65,45,45,Medium Slow,87.5
Bayleef,153,2,Normal,Leaf Pokémon,1,Grass,,1.2,15.8,2,Overgrow,,Leaf Guard,405,60,62,80,63,80,60,45,Medium Slow,87.5
Meganium,154,2,Normal,Herb Pokémon,1,Grass,,1.8,100.5,2,Overgrow,,Leaf Guard,525,80,82,100,83,100,80,45,Medium Slow,87.5
Cyndaquil,155,2,Normal,Fire Mouse Pokémon,1,Fire,,0.5,7.9,2,Blaze,,Flash Fire,309,39,52,43,60,50,65,45,Medium Slow,87.5
Quilava,156,2,Normal,Volcano Pokémon,1,Fire,,0.9,19.0,2,Blaze,,Flash Fire,405,58,64,58,80,65,80,45,Medium Slow,87.5
Typhlosion,157,2,Normal,Volcano Pokémon,1,Fire,,1.7,79.5,2,Blaze,,Flash Fire,534,78,84,78,109,85,100,45,Medium Slow,87.5
Totodile,158,2,Normal,Big Jaw Pokémon,1,Water,,0.6,9.5,2,Torrent,,Sheer Force,314,50,65,64,44,48,43,45,Medium Slow,87.5
Croconaw,159,2,Normal,Big Jaw Pokémon,1,Water,,1.1,25.0,2,Torrent,,Sheer Force,405,65,80,80,59,63,58,45,Medium Slow,87.5
Feraligatr,160,2,Normal,Big Jaw Pokémon,1,Water,,2.3,88.8,2,Torrent,,Sheer Force,530,85,105,100,79,83,78,45,Medium Slow,87.5
Sentret,161,2,Normal,Scout Pokémon,1,Normal,,0.8,6.0,3,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,255,Medium Fast,50.0
Furret,162,2,Normal,Long Body Pokémon,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,90,Medium Fast,50.0
Hoothoot,163,2,Normal,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,255,Medium Fast,50.0
Noctowl,164,2,Normal,Owl Pokémon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,90,Medium Fast,50.0
Ledyba,165,2,Normal,Five Star Pokémon,2,Bug,Flying,1.0,10.8,3,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,255,Fast,50.0
Ledian,166,2,Normal,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,90,Fast,50.0
Spinarak,167,2,Normal,String Spit Pokémon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,255,Fast,50.0
Ariados,168,2,Normal,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,90,Fast,50.0
Crobat,169,2,Normal,Bat Pokémon,2,Poison,Flying,1.8,75.0,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,90,Medium Fast,50.0
Chinchou,170,2,Normal,Angler Pokémon,2,Water,Electric,0.5,12.0,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,190,Slow,50.0
Lanturn,171,2,Normal,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,75,Slow,50.0
Pichu,172,2,Normal,Tiny Mouse Pokémon,1,Electric,,0.3,2.0,2,Static,,Lightning Rod,205,20,40,15,35,35,60,190,Medium Fast,50.0
Cleffa,173,2,Normal,Star Shape Pokémon,1,Fairy,,0.3,3.0,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,150,Fast,25.0
Igglybuff,174,2,Normal,Balloon Pokémon,2,Normal,Fairy,0.3,1.0,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,170,Fast,25.0
Togepi,175,2,Normal,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,190,Fast,87.5
Togetic,176,2,Normal,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,75,Fast,87.5
Natu,177,2,Normal,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2.0,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,190,Medium Fast,50.0
Xatu,178,2,Normal,Mystic Pokémon,2,Psychic,Flying,1.5,15.0,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,75,Medium Fast,50.0
Mareep,179,2,Normal,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,65,45,35,235,Medium Slow,50.0
Flaaffy,180,2,Normal,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,80,60,45,120,Medium Slow,50.0
Ampharos,181,2,Normal,Light Pokémon,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,45,Medium Slow,50.0
Mega Ampharos,181,2,Normal,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,165,110,45,45,Medium Slow,50.0
Bellossom,182,2,Normal,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,45,Medium Slow,50.0
Marill,183,2,Normal,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190,Fast,50.0
Azumarill,184,2,Normal,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75,Fast,50.0
Sudowoodo,185,2,Normal,Imitation Pokémon,1,Rock,,1.2,38.0,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65,Medium Fast,50.0
Politoed,186,2,Normal,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45,Medium Slow,50.0
Hoppip,187,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255,Medium Slow,50.0
Skiploom,188,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.6,1.0,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120,Medium Slow,50.0
Jumpluff,189,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.8,3.0,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45,Medium Slow,50.0
Aipom,190,2,Normal,Long Tail Pokémon,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45,Fast,50.0
Sunkern,191,2,Normal,Seed Pokémon,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235,Medium Slow,50.0
Sunflora,192,2,Normal,Sun Pokémon,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120,Medium Slow,50.0
Yanma,193,2,Normal,Clear Wing Pokémon,2,Bug,Flying,1.2,38.0,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75,Medium Fast,50.0
Wooper,194,2,Normal,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255,Medium Fast,50.0
Quagsire,195,2,Normal,Water Fish Pokémon,2,Water,Ground,1.4,75.0,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90,Medium Fast,50.0
Espeon,196,2,Normal,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45,Medium Fast,87.5
Umbreon,197,2,Normal,Moonlight Pokémon,1,Dark,,1.0,27.0,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45,Medium Fast,87.5
Murkrow,198,2,Normal,Darkness Pokémon,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,30,Medium Slow,50.0
Slowking,199,2,Normal,Royal Pokémon,2,Water,Psychic,2.0,79.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,70,Medium Fast,50.0
Galarian Slowking,199,8,Normal,Hexpert Pokémon,2,Poison,Psychic,1.8,79.5,3,Curious Medicine,Own Tempo,Regenerator,490,95,65,80,110,110,30,70,Medium Fast,50.0
Misdreavus,200,2,Normal,Screech Pokémon,1,Ghost,,0.7,1.0,1,Levitate,,,435,60,60,60,85,85,85,45,Fast,50.0
Unown,201,2,Normal,Symbol Pokémon,1,Psychic,,0.5,5.0,1,Levitate,,,336,48,72,48,72,48,48,225,Medium Fast,
Wobbuffet,202,2,Normal,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45,Medium Fast,50.0
Girafarig,203,2,Normal,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60,Medium Fast,50.0
Pineco,204,2,Normal,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190,Medium Fast,50.0
Forretress,205,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75,Medium Fast,50.0
Dunsparce,206,2,Normal,Land Snake Pokémon,1,Normal,,1.5,14.0,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190,Medium Fast,50.0
Gligar,207,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60,Medium Slow,50.0
Steelix,208,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25,Medium Fast,50.0
Mega Steelix,208,2,Normal,Iron Snake Pokémon,2,Steel,Ground,10.5,740.0,1,Sand Force,,,610,75,125,230,55,95,30,25,Medium Fast,50.0
Snubbull,209,2,Normal,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190,Fast,25.0
Granbull,210,2,Normal,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75,Fast,25.0
Qwilfish,211,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45,Medium Fast,50.0
Scizor,212,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118.0,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25,Medium Fast,50.0
Mega Scizor,212,2,Normal,Pincer Pokémon,2,Bug,Steel,2.0,125.0,1,Technician,,,600,70,150,140,65,100,75,25,Medium Fast,50.0
Shuckle,213,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190,Medium Slow,50.0
Heracross,214,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45,Slow,50.0
Mega Heracross,214,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600,80,185,115,40,105,75,45,Slow,50.0
Sneasel,215,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60,Medium Slow,50.0
Teddiursa,216,2,Normal,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120,Medium Fast,50.0
Ursaring,217,2,Normal,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60,Medium Fast,50.0
Slugma,218,2,Normal,Lava Pokémon,1,Fire,,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190,Medium Fast,50.0
Magcargo,219,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75,Medium Fast,50.0
Swinub,220,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225,Slow,50.0
Piloswine,221,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75,Slow,50.0
Corsola,222,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60,Fast,25.0
Galarian Corsola,222,2,Normal,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,60,Fast,
Remoraid,223,2,Normal,Jet Pokémon,1,Water,,0.6,12.0,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,Medium Fast,50.0
Octillery,224,2,Normal,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75,Medium Fast,50.0
Delibird,225,2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45,Fast,50.0
Mantine,226,2,Normal,Kite Pokémon,2,Water,Flying,2.1,220.0,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25,Slow,50.0
Skarmory,227,2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,Slow,50.0
Houndour,228,2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,Slow,50.0
Houndoom,229,2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,Slow,50.0
Mega Houndoom,229,2,Normal,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,140,90,115,45,Slow,50.0
Kingdra,230,2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45,Medium Fast,50.0
Phanpy,231,2,Normal,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120,Medium Fast,50.0
Donphan,232,2,Normal,Armor Pokémon,1,Ground,,1.1,120.0,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60,Medium Fast,50.0
Porygon2,233,2,Normal,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45,Medium Fast,
Stantler,234,2,Normal,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45,Slow,50.0
Smeargle,235,2,Normal,Painter Pokémon,1,Normal,,1.2,58.0,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45,Fast,50.0
Tyrogue,236,2,Normal,Scuffle Pokémon,1,Fighting,,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75,Medium Fast,100.0
Hitmontop,237,2,Normal,Handstand Pokémon,1,Fighting,,1.4,48.0,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45,Medium Fast,100.0
Smoochum,238,2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6.0,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45,Medium Fast,0.0
Elekid,239,2,Normal,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,45,Medium Fast,75.0
Magby,240,2,Normal,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45,Medium Fast,75.0
Miltank,241,2,Normal,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45,Slow,0.0
Blissey,242,2,Normal,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30,Fast,0.0
Raikou,243,2,Sub Legendary,Thunder Pokémon,1,Electric,,1.9,178.0,2,Pressure,,Inner Focus,580,90,85,75,115,100,115,3,Slow,
Entei,244,2,Sub Legendary,Volcano Pokémon,1,Fire,,2.1,198.0,2,Pressure,,Inner Focus,580,115,115,85,90,75,100,3,Slow,
Suicune,245,2,Sub Legendary,Aurora Pokémon,1,Water,,2.0,187.0,2,Pressure,,Inner Focus,580,100,75,115,90,115,85,3,Slow,
Larvitar,246,2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72.0,2,Guts,,Sand Veil,300,50,64,50,45,50,41,45,Slow,50.0
Pupitar,247,2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152.0,1,Shed Skin,,,410,70,84,70,65,70,51,45,Slow,50.0
Tyranitar,248,2,Normal,Armor Pokémon,2,Rock,Dark,2.0,202.0,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45,Slow,50.0
Mega Tyranitar,248,2,Normal,Armor Pokémon,2,Rock,Dark,2.5,255.0,1,Sand Stream,,,700,100,164,150,95,120,71,45,Slow,50.0
Lugia,249,2,Legendary,Diving Pokémon,2,Psychic,Flying,5.2,216.0,2,Pressure,,Multiscale,680,106,90,130,90,154,110,3,Slow,
Ho-oh,250,2,Legendary,Rainbow Pokémon,2,Fire,Flying,3.8,199.0,2,Pressure,,Regenerator,680,106,130,90,110,154,90,3,Slow,
Celebi,251,2,Mythical,Time Travel Pokémon,2,Psychic,Grass,0.6,5.0,1,Natural Cure,,,600,100,100,100,100,100,100,45,Medium Slow,
Treecko,252,3,Normal,Wood Gecko Pokémon,1,Grass,,0.5,5.0,2,Overgrow,,Unburden,310,40,45,35,65,55,70,45,Medium Slow,87.5
Grovyle,253,3,Normal,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,85,65,95,45,Medium Slow,87.5
Sceptile,254,3,Normal,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,105,85,120,45,Medium Slow,87.5
Mega Sceptile,254,3,Normal,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630,70,110,75,145,85,145,45,Medium Slow,87.5
Torchic,255,3,Normal,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,70,50,45,45,Medium Slow,87.5
Combusken,256,3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,85,60,55,45,Medium Slow,87.5
Blaziken,257,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,2,Blaze,,Speed Boost,530,80,120,70,110,70,80,45,Medium Slow,87.5
Mega Blaziken,257,3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,1,Speed Boost,,,630,80,160,80,130,80,100,45,Medium Slow,87.5
Mudkip,258,3,Normal,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,50,50,40,45,Medium Slow,87.5
Marshtomp,259,3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28.0,2,Torrent,,Damp,405,70,85,70,60,70,50,45,Medium Slow,87.5
Swampert,260,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,85,90,60,45,Medium Slow,87.5
Mega Swampert,260,3,Normal,Mud Fish Pokémon,2,Water,Ground,1.9,102.0,1,Swift Swim,,,635,100,150,110,95,110,70,45,Medium Slow,87.5
Poochyena,261,3,Normal,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255,Medium Fast,50.0
Mightyena,262,3,Normal,Bite Pokémon,1,Dark,,1.0,37.0,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127,Medium Fast,50.0
Zigzagoon,263,3,Normal,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,Medium Fast,50.0
Galarian Zigzagoon,263,3,Normal,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,Medium Fast,
Linoone,264,3,Normal,Rushing Pokémon,1,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90,Medium Fast,50.0
